"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "Year"
"48" 43800 59200 66600 65200 129000 22300 10100 23600 40800 83500 26800 30800 23000 46700 462000 40000 32100 55300 78400 72900 21500 14500 31000 45000 48300 83800 154000 1982
"49" 34100 42500 51200 43600 117000 13400 12500 33100 37000 81200 33600 44600 20000 37700 525000 61500 25000 59100 77300 76600 17900 10800 35400 36700 48700 91200 171000 1983
"50" 54700 80200 93500 52500 164000 12900 9910 30000 41200 95900 33200 34900 16600 22500 456000 77600 20200 40000 51100 49300 25900 12100 28200 23500 27700 68000 131000 1984
"51" 62100 79700 89700 50700 161000 21000 11000 16800 20500 70400 31700 33000 24500 30500 425000 43600 39100 79200 114000 110000 26700 27000 42400 28600 38800 84500 196000 1985
"52" 46700 66900 80500 148000 205000 18500 11000 26500 40000 89100 28500 34400 21000 31800 493000 33400 19600 40000 58000 59800 18400 18800 34000 33100 31200 74600 144000 1986
"53" 48600 66200 71300 41500 120000 16200 10400 40300 79800 94500 23900 26200 27500 27600 428000 43800 10600 13800 18600 19300 4910 10400 18800 14300 13300 26700 50500 1987
"54" 30700 44200 49400 52400 123000 8800 10800 8390 11500 53400 23700 26600 10600 23100 380000 47900 21200 32600 33400 35000 15700 11400 23200 27200 29200 57200 96600 1988
"55" 53600 93100 102000 95800 161000 18700 11000 59200 74800 86100 26900 31700 27800 41900 473000 79300 26400 39500 50200 53200 13800 15700 25400 25400 40100 76800 127000 1989
"56" 58900 85500 93000 60300 128000 21700 11000 30200 38200 72200 33000 38600 24400 36000 393000 47000 26900 50800 70900 67800 22200 14500 49900 41400 47600 119000 199000 1990
"57" 59900 90900 114000 83500 216000 29200 14500 24700 28100 80400 45600 41800 39700 48700 535000 50600 34800 75200 102000 106000 22600 36800 65200 55500 50100 109000 224000 1991
"58" 33600 58700 67900 48000 93100 16000 6870 56500 61800 75300 24200 25600 22300 24800 435000 40000 12900 32700 35900 39800 10300 17100 33000 12500 16200 41600 84300 1992
